seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9662100572696607,3.4091719260197024,0.9230362955140701,9.71851222618805,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9640038662762862,4.500261693063822,0.8468314166074663,9.457050313446542,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9621338774008168,3.750024156181051,0.9162478209769184,9.961214352053858,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.962988749927673,3.8935286811552787,0.9270215885537907,8.680734992328109,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9699083048229848,3.712387733127837,0.8908401065798355,9.882836893687488,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9569262871878257,3.664286951453236,0.9163817792056245,10.349394418583918,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9758280708337381,3.4055650280003738,0.9367087705471567,10.15610668131266,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9715957225029243,3.8202984020103323,0.9400176117376725,8.859945598056987,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9681318043298577,4.095854111089576,0.9301736781241452,8.690762052109338,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9362165137440822,4.26018455129463,0.8674140741471907,10.25680380523257,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9745587700950988,4.031697095797417,0.9331640103165956,8.296602674587296,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.968169174785516,3.6239487560445305,0.8970247119743767,10.179797716257259,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold2_model1.joblib
