seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.7804730808708564,15.005906387772646,0.7644630161789927,18.977372376397,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model1.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.837410512427924,12.421445701079488,0.81717372022941,16.52579829785227,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model2.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.8912563144439707,10.760329919191348,0.8819029763944467,13.674173463232545,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model3.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9312711644735103,7.747779431116402,0.9197024556256169,11.01378526614629,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model4.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9102433595736283,8.340724032888208,0.8847179497959482,11.261499607696916,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model5.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9196326010279424,8.103261681734397,0.8936071008393149,10.821332535500392,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model6.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9707048909263006,4.506461459709696,0.9443858024027609,10.216806067884667,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model7.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9774327050648347,4.01418979744779,0.9475050914509133,10.079299600039876,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model8.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.928716674980809,7.042322204596128,0.9012292356319535,10.451272175665984,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model9.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9371021447603374,6.686217783095403,0.9066584499504575,10.463593874049499,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model10.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9775267318027481,3.8309497305070037,0.9485510420589327,9.940567828602225,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model11.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9804716273607085,3.6743571309022753,0.9497643197573991,9.913728932963618,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold1_model12.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.8019206663225441,15.109062197483109,0.659351458222934,17.250461856808975,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model1.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.8553187731141673,12.464703083659249,0.7255205559325067,14.28672235644142,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model2.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.8978001030534895,11.232191330306518,0.817558703817919,14.974885672877752,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model3.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9333399713513358,8.415206082196267,0.8689132199207054,11.25358124703924,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model4.joblib
43,1,2,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9248376340135234,8.270294418878862,0.8276485285889758,9.473054461179892,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model5.joblib
43,1,2,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9315837640740169,7.839206526669193,0.836256114729545,9.050590490271496,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model6.joblib
43,1,2,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9673208786125906,5.5477569787964205,0.9371994532233812,6.28900723353337,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model7.joblib
43,1,2,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9722700191051332,5.093377740459066,0.9429537967120052,6.08997880802266,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model8.joblib
43,1,2,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9368906931616248,7.678535553836781,0.8482809027408578,8.994982511202377,model_multi_output_PARAFAC_results/Gradient Boosting_init1_fold2_model9.joblib
