seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.7678885833008444,14.979749698061408,0.7539746676268361,19.755172063434713,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model1.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.8316565769176629,12.377586288980762,0.8161164337850699,16.65894367131402,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model2.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.880027002338416,10.652469219506331,0.8718040222790078,13.876856202690195,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model3.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.920436164304612,7.63210258921023,0.9120536041029048,10.86907985843781,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model4.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9136214348981234,8.155768957156262,0.8938239284634353,10.621478597601179,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model5.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9260487683616583,7.397242639190196,0.9030421923008058,10.62145712026854,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model6.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9672559536438389,4.516810614435994,0.9433159293339148,9.587155627017781,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model7.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9748143232465496,4.123875420420946,0.944586981443555,9.972647511984016,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model8.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9339085429218338,6.784408628847882,0.9095237026737053,10.54973893260724,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model9.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9387612956258454,6.536204071355054,0.9134354681987791,10.294816294673664,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model10.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9820639695604994,3.8433247649095272,0.9488083742170093,10.161681641269805,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model11.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9849528677627191,3.6217078260654176,0.9489491682246951,10.139901409361679,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold1_model12.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.7919224905209914,15.197948343384038,0.6445645654107124,17.10679416437697,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold2_model1.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.8527547113955215,12.36458787488733,0.7088931589421248,14.131838773194113,model_multi_output_SUVA_Br_pH_results/Gradient Boosting_init1_fold2_model2.joblib
