seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.48468754067581915,31.746765347505566,0.4675037899129875,36.218594297765264,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.000774263682681127},0.4846852523559308,31.746767211856785,0.46761964803595096,36.21858371645113,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.005994842503189409},0.48454918318790013,31.74687834762462,0.46837988836956307,36.21860555335424,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.046415888336127774},0.47810566261223875,31.751546513266213,0.46775853740163476,36.222102511967,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.3593813663804626},0.3981078185786976,31.834294741692815,0.3802942523298974,36.320841235952315,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 2.782559402207126},0.21799588242546122,32.71453217093735,0.1890632319509204,37.11862807488033,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 21.54434690031882},0.0673371566895383,35.322090287499265,0.053807413780923574,39.57566063888144,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 166.81005372000558},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 1291.5496650148827},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 10000.0},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold1_model10.joblib
43,1,2,{'model__alpha': 0.0001},0.4868594731630074,32.84000876776539,0.41066084824244725,31.97834937926446,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.000774263682681127},0.48685750067412636,32.84001049231619,0.41055155940788846,31.978365818124274,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model2.joblib
43,1,2,{'model__alpha': 0.005994842503189409},0.48674019031529914,32.840113213587145,0.40961277125942114,31.978572047486278,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model3.joblib
43,1,2,{'model__alpha': 0.046415888336127774},0.48098986621515544,32.84490151243539,0.3980434639967589,31.984090466641483,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model4.joblib
43,1,2,{'model__alpha': 0.3593813663804626},0.4082190923060528,32.92593034945363,0.3221520807386036,32.06240647535052,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model5.joblib
43,1,2,{'model__alpha': 2.782559402207126},0.22037170298410716,33.83447767375739,0.21636914727938067,33.045357920684204,model_multi_output_SUVA_Br_pH_results/Lasso Regression_init1_fold2_model6.joblib
