seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9386338570167798,3.462560637442425,0.8844154816413354,10.17829743387421,model_multi_output_SUVA_Br_pH_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9713613023037734,4.43270094994663,0.907612156079205,9.92972458648055,model_multi_output_SUVA_Br_pH_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9642582410379603,3.737496133896818,0.932929768179615,9.026154640223472,model_multi_output_SUVA_Br_pH_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9403156307412222,3.9926968395623836,0.9093890362060882,8.485600402517894,model_multi_output_SUVA_Br_pH_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9581962030200731,3.805047662786177,0.880706923104835,9.870689890555145,model_multi_output_SUVA_Br_pH_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9581430414572756,3.6080662619827715,0.8648784087428923,10.539354962740694,model_multi_output_SUVA_Br_pH_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9524140124723095,3.518768160530057,0.8860019566196312,10.274737109552435,model_multi_output_SUVA_Br_pH_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9628958915272408,3.8404975337538994,0.8709184827989047,9.632519449476217,model_multi_output_SUVA_Br_pH_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9670520100571729,4.076669336037811,0.9306887862039609,8.327840657578697,model_multi_output_SUVA_Br_pH_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9469661052729237,4.291337813269268,0.8053332804845045,19.04587502687827,model_multi_output_SUVA_Br_pH_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9301747413113522,4.1831696213275515,0.8462772994773546,8.48973854208411,model_multi_output_SUVA_Br_pH_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9581930068834812,3.6645470559368385,0.9003376986758032,8.928158652377515,model_multi_output_SUVA_Br_pH_results/Neural Network_init3_fold2_model1.joblib
45,3,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9451009980841665,4.133678369906993,0.8931071146523865,13.121334616815602,model_multi_output_SUVA_Br_pH_results/Neural Network_init3_fold3_model1.joblib
45,3,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9476785400750958,4.5417755565360185,0.888957316927647,6.164268072878921,model_multi_output_SUVA_Br_pH_results/Neural Network_init3_fold4_model1.joblib
45,3,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9395603519696538,4.385047315615727,0.915596356398679,7.43933797875272,model_multi_output_SUVA_Br_pH_results/Neural Network_init3_fold5_model1.joblib
46,4,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9637398667107195,4.59631922798904,0.8710527935141646,10.13199426037885,model_multi_output_SUVA_Br_pH_results/Neural Network_init4_fold1_model1.joblib
46,4,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9633460109594505,3.7605459926363336,0.7654256093981249,20.175061818302588,model_multi_output_SUVA_Br_pH_results/Neural Network_init4_fold2_model1.joblib
46,4,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9180812845708098,4.394820469369021,0.8822717465508324,6.746133541159777,model_multi_output_SUVA_Br_pH_results/Neural Network_init4_fold3_model1.joblib
46,4,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9335477211289964,3.5400377480480953,0.9128001319294714,9.77733334517835,model_multi_output_SUVA_Br_pH_results/Neural Network_init4_fold4_model1.joblib
46,4,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9575035275874132,3.036808694926279,0.9024950160013765,15.368475666415804,model_multi_output_SUVA_Br_pH_results/Neural Network_init4_fold5_model1.joblib
47,5,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9735409272580148,4.427930293707145,0.9292657790641934,6.527112177229301,model_multi_output_SUVA_Br_pH_results/Neural Network_init5_fold1_model1.joblib
47,5,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9414894306705479,4.044624876279097,0.9153131253136888,9.053647623401115,model_multi_output_SUVA_Br_pH_results/Neural Network_init5_fold2_model1.joblib
47,5,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.950532680663396,3.9714426711375297,0.6581631204850694,25.348210140101056,model_multi_output_SUVA_Br_pH_results/Neural Network_init5_fold3_model1.joblib
47,5,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9266492133421094,3.603388260813156,0.8809415390243404,10.33798658958219,model_multi_output_SUVA_Br_pH_results/Neural Network_init5_fold4_model1.joblib
47,5,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9731498426959343,3.318450224000324,0.9000643974233954,12.503865952359748,model_multi_output_SUVA_Br_pH_results/Neural Network_init5_fold5_model1.joblib
48,6,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9554472317752305,3.2733144028789356,0.8113104027306338,16.056278006766725,model_multi_output_SUVA_Br_pH_results/Neural Network_init6_fold1_model1.joblib
48,6,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9590814826672063,4.318383547274052,0.9216091953234006,6.283240866467004,model_multi_output_SUVA_Br_pH_results/Neural Network_init6_fold2_model1.joblib
48,6,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9490951166145509,4.277679291973074,0.832645029910536,10.744866355993524,model_multi_output_SUVA_Br_pH_results/Neural Network_init6_fold3_model1.joblib
48,6,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9510333537456248,3.7950751427843215,0.9255626163776132,10.192886438925257,model_multi_output_SUVA_Br_pH_results/Neural Network_init6_fold4_model1.joblib
