seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9830961855511513,4.38529442981923,0.8248856990522055,11.972887851692018,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model1.joblib
43,1,1,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9839080994345206,4.415554668168774,0.8372458901579801,11.606481701307233,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model2.joblib
43,1,1,"{'model__max_depth': None, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9598862635396866,5.440017493605554,0.7959948618189221,11.624753241891224,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model3.joblib
43,1,1,"{'model__max_depth': None, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9580591055737541,5.624387989817576,0.7851484065534041,11.971956742384277,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model4.joblib
43,1,1,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9839332953749669,4.3354511766299995,0.8389561714945154,11.595466407390811,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model5.joblib
43,1,1,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9841410873437738,4.405567491354356,0.8424730170685697,11.634332629173233,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model6.joblib
43,1,1,"{'model__max_depth': 20, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9596370032650091,5.55647246671557,0.7911869061613297,11.5319778211265,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model7.joblib
43,1,1,"{'model__max_depth': 20, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9598617866129538,5.402969344357161,0.7933101976301364,11.660733601010897,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model8.joblib
43,1,1,"{'model__max_depth': 30, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9832416225089814,4.481730649250585,0.829151878131303,12.1942084896995,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model9.joblib
43,1,1,"{'model__max_depth': 30, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9840486108519565,4.300008583837777,0.8423231727591091,11.628685527917616,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model10.joblib
43,1,1,"{'model__max_depth': 30, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.958370193299193,5.5071210722214925,0.7824398423375067,11.869798202134914,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model11.joblib
43,1,1,"{'model__max_depth': 30, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9593861728403297,5.698052083740976,0.7850831178541353,11.746946484569104,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model12.joblib
43,1,1,"{'model__max_depth': 40, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9844098042442241,4.279310711432236,0.8454454234758983,11.483031586977138,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model13.joblib
43,1,1,"{'model__max_depth': 40, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9835757410762402,4.400007900822976,0.8382747243748385,11.950067291408136,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model14.joblib
43,1,1,"{'model__max_depth': 40, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9583069510957033,5.519534947339518,0.7905046016079094,11.652739968167806,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model15.joblib
43,1,1,"{'model__max_depth': 40, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9599356108415605,5.363730887812724,0.790087517911785,11.43215432089915,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold1_model16.joblib
43,1,2,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9793096626912755,5.078700083639111,0.9401131434271809,6.949602846127218,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model1.joblib
43,1,2,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9792518299996846,5.092533965105475,0.9400874713587724,6.950637326176185,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model2.joblib
43,1,2,"{'model__max_depth': None, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9505230638956051,6.449108527613985,0.8852739533344327,9.00678852556035,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model3.joblib
43,1,2,"{'model__max_depth': None, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9484506365955886,6.50677079481251,0.8788800966201746,9.270151907240727,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model4.joblib
43,1,2,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.978989136622608,5.118426671037123,0.9378172232738189,7.163910889188982,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model5.joblib
43,1,2,"{'model__max_depth': 20, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9795058477688713,5.067646651885024,0.9398355315835669,7.098015708650631,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model6.joblib
43,1,2,"{'model__max_depth': 20, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9478578101435515,6.4445414832392895,0.883749154957839,8.75283715641456,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model7.joblib
43,1,2,"{'model__max_depth': 20, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9479316257373472,6.483319618149386,0.8858850626128285,9.034504081294257,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model8.joblib
43,1,2,"{'model__max_depth': 30, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9784226168978936,5.11888625330083,0.9355076677059809,7.207076380988395,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model9.joblib
43,1,2,"{'model__max_depth': 30, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9793911094292801,5.061142747284446,0.9382121527938058,7.15523308267191,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model10.joblib
43,1,2,"{'model__max_depth': 30, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9483696646806734,6.556239676339025,0.8814870581013846,9.447139628716657,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model11.joblib
43,1,2,"{'model__max_depth': 30, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9483792940012394,6.440764942248697,0.8853405338804412,8.878491583923568,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model12.joblib
43,1,2,"{'model__max_depth': 40, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9791411763822527,5.093021165790345,0.9397940033403966,7.1643305795032735,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model13.joblib
43,1,2,"{'model__max_depth': 40, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.979352473875285,5.060221995370306,0.9397592632734973,6.920856529770697,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model14.joblib
43,1,2,"{'model__max_depth': 40, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9494718071017149,6.432278070979119,0.883748638689174,9.098836262215393,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model15.joblib
43,1,2,"{'model__max_depth': 40, 'model__min_samples_split': 4, 'model__n_estimators': 400}",0.9484470225789388,6.512242918192655,0.8825617069206324,9.150470969859636,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold2_model16.joblib
43,1,3,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.9813649408126215,4.740319026538991,0.9392918154804223,7.917662670312035,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold3_model1.joblib
43,1,3,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.9818271186295057,4.751933116344243,0.945308437347731,7.57355020946306,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold3_model2.joblib
43,1,3,"{'model__max_depth': None, 'model__min_samples_split': 4, 'model__n_estimators': 300}",0.9512597712884695,6.097370785363375,0.9020070201164447,8.076032994653051,model_multi_output_SUVA_Br_pH_results/Random Forest_init1_fold3_model3.joblib
