seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.43337773844209176,31.94489731752579,0.3993857575353184,36.25771413661898,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.000774263682681127},0.4333755969031827,31.944898826241722,0.3994874498353936,36.25777294903856,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.005994842503189409},0.4332477201794589,31.944989055977477,0.400146930681432,36.25828311779688,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.046415888336127774},0.42559943417350504,31.95034460096877,0.3975996254354851,36.2671683353696,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.3593813663804626},0.3202735012120225,32.0911028635087,0.2772284576056088,36.453944753305585,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 2.782559402207126},0.198073335959329,32.816848291397655,0.1661789429594139,37.03593737144984,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 21.54434690031882},0.0673371566895383,35.322090287499265,0.053807413780923574,39.57566063888144,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 166.81005372000558},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 1291.5496650148827},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 10000.0},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_pH_results/Lasso Regression_init1_fold1_model10.joblib
