seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.4333777747355512,31.94489729195242,0.39937033617240003,36.2577058943907,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.000774263682681127},0.4333777747190915,31.944897292090246,0.39937026199775194,36.25770551112939,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.005994842503189409},0.43337777373250697,31.944897300352192,0.3993696870575792,36.257702550775534,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.046415888336127774},0.43337771465737596,31.944897795317786,0.3993651976181244,36.257680055119984,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.3593813663804626},0.4333742049898551,31.944927317909695,0.3993281890646636,36.2575312348072,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 2.782559402207126},0.4331776560243649,31.946630860078635,0.39891676945550836,36.25783701706119,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 21.54434690031882},0.42562022169976077,32.02622351166583,0.391250477809423,36.3265202505341,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 166.81005372000558},0.3387255873384527,33.65588742454117,0.31064286903299954,37.908745646162664,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 1291.5496650148827},0.12868467035356002,38.88062419163909,0.11262553985414818,43.080963196795544,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 10000.0},0.022515073371435147,41.2777975247984,0.014550842770771677,45.44757162897517,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold1_model10.joblib
43,1,2,{'model__alpha': 0.0001},0.41830694681611735,33.112264941702264,0.435188721008663,31.97848603260894,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.000774263682681127},0.41830694679919034,33.11226494185505,0.4351899901161979,31.978484846247728,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model2.joblib
43,1,2,{'model__alpha': 0.005994842503189409},0.4183069457846065,33.112264951014495,0.4351998139614267,31.978475677200585,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model3.joblib
43,1,2,{'model__alpha': 0.046415888336127774},0.41830688503382873,33.112265499674685,0.43527573310298456,31.978405673879355,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model4.joblib
43,1,2,{'model__alpha': 0.3593813663804626},0.41830327623058244,33.1122981911608,0.4358550303506562,31.977922563554824,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model5.joblib
43,1,2,{'model__alpha': 2.782559402207126},0.41810135366507806,33.11417007426546,0.43986251127077125,31.977533540213507,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model6.joblib
43,1,2,{'model__alpha': 21.54434690031882},0.4103861220039399,33.197643766109394,0.4524749121360948,32.11536503006655,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model7.joblib
43,1,2,{'model__alpha': 166.81005372000558},0.32391774601350365,34.742350362091,0.3799294703293475,34.65359408816168,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model8.joblib
43,1,2,{'model__alpha': 1291.5496650148827},0.1210021795131635,39.53593959608896,0.137947002235823,41.21748479710048,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model9.joblib
43,1,2,{'model__alpha': 10000.0},0.020949763222957652,41.735321092857795,0.013919807034553755,43.96801541858982,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold2_model10.joblib
43,1,3,{'model__alpha': 0.0001},0.43766420785511134,32.325751790697026,0.3709387529595521,34.47917686061968,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold3_model1.joblib
43,1,3,{'model__alpha': 0.000774263682681127},0.43766420783750937,32.32575179084708,0.37094001287393596,34.47917987343076,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold3_model2.joblib
43,1,3,{'model__alpha': 0.005994842503189409},0.4376642067824667,32.325751799841996,0.3709497658707519,34.47920320991106,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold3_model3.joblib
43,1,3,{'model__alpha': 0.046415888336127774},0.4376641436073651,32.325752338684964,0.3710251562589808,34.47938445756442,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold3_model4.joblib
43,1,3,{'model__alpha': 0.3593813663804626},0.43766038998639656,32.32578446275696,0.3716015319174411,34.48082125839419,model_multi_output_SUVA_pH_results/Ridge Regression_init1_fold3_model5.joblib
