seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.05}",0.2561031186787779,33.22422777548804,0.2247799070564672,37.790698263333795,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model1.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",0.2561031186767261,33.22422776618287,0.22477990995410996,37.79070197700869,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model2.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",0.2561031165928792,33.224227710078395,0.22477992430306318,37.790731706637274,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model3.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",0.25610311081822906,33.22422768658591,0.22477993528308807,37.7907614717904,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model4.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.95}",0.25610310983706425,33.224227685941756,0.2247799362721416,37.79076519553419,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model5.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.05}",0.2561030753630174,33.22422902367291,0.2247925209730605,37.790497253822835,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model6.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.1}",0.25610307534947274,33.22422889448744,0.22479252951709022,37.790510991989706,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model7.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.5}",0.25610304618611657,33.224228115481324,0.22479257661198665,37.79062120191637,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model8.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.9}",0.25610296572591246,33.224227789349236,0.22479256497101785,37.790731842058776,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model9.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.95}",0.25610295206891787,33.224227780408974,0.2247925589486064,37.790745715208985,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model10.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.05}",0.25610247501516004,33.2242463290589,0.22483900989660324,37.78976165600724,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model11.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.1}",0.256102474529195,33.22424453954669,0.22483906048138075,37.78981145469391,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model12.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.5}",0.25610207208785074,33.224233741115484,0.22483896077126117,37.790213655596645,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model13.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.9}",0.2561009562088613,33.224229213573544,0.22483813112391476,37.790622643428335,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model14.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.95}",0.25610076645822305,33.22422908946617,0.22483797391361504,37.79067425359128,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model15.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.05}",0.2560942090461823,33.224484826156086,0.2250050574593579,37.78720796965057,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model16.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.1}",0.25609420183599685,33.22446024558349,0.2250053173117407,37.787374106319774,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model17.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.5}",0.25608861514131853,33.22431155390855,0.22500165481850595,37.7887555907887,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model18.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.9}",0.25607308055633143,33.2242489664299,0.22498779739694771,37.79022942335528,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model19.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.95}",0.25607043172431476,33.22424725156517,0.22498532698231238,37.79042037746806,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model20.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.05}",0.25598319008107717,33.22769990911742,0.22552716566805717,37.78021177830708,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model21.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.1}",0.25598292359387775,33.22737256103707,0.2255294299455633,37.78057430360299,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model22.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.5}",0.2559051377238295,33.22537515832791,0.22546970406959668,37.784149616609284,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model23.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.9}",0.25576739668694237,33.224488871229894,0.22528767070086317,37.78895855290561,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model24.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.95}",0.25574880106571507,33.2244577482634,0.22525890692522793,37.789648062096276,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model25.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.05}",0.2546175404765357,33.26773049162585,0.22631152958333028,37.78479889927275,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model26.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.1}",0.2546065806281475,33.26383162755255,0.22632812673162234,37.78319561373398,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model27.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.5}",0.25418362284957186,33.23901399673786,0.22580497287163226,37.777552110507024,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model28.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.9}",0.2526840313933015,33.227312122920054,0.22410105731445884,37.78632903299156,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model29.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.95}",0.25240884113748785,33.226899457408344,0.2237944021854056,37.78857172339295,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model30.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.05}",0.2420561586524303,33.65139858117004,0.21952779557647356,38.06680369535996,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model31.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.1}",0.24199450676929665,33.61909781563281,0.21958554356036614,38.04018670572983,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model32.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.5}",0.2357550262436304,33.392073926687615,0.2136831424468721,37.865320185772475,model_multi_output_breakpoint_results/ElasticNet Regression_init1_fold1_model33.joblib
