seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.25610310879820836,33.22422768580736,0.2247799372016453,37.79076891982932,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.0003727593720314938},0.2561029376093905,33.22422777855086,0.2247925520978434,37.79075959601961,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.0013894954943731374},0.25610056550761096,33.22422906373929,0.22483780514567356,37.79072597017076,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.005179474679231213},0.25606762472827216,33.22424690235148,0.22498269349081684,37.79061280896448,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.019306977288832496},0.25572890698433765,33.22444510397922,0.2252287387235102,37.79035761676421,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 0.07196856730011514},0.2521127290498069,33.22673843124859,0.22346540646490806,37.7910878980596,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 0.2682695795279725},0.22426602598735385,33.24896452849746,0.19432851311926122,37.8106300621813,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 1.0},0.19891183189288203,33.342004094647976,0.1725758694023495,37.86444095097475,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 3.727593720314938},0.13828978880339116,33.81244971817846,0.12475460401921015,38.19267344287724,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 13.89495494373136},0.07036747800969807,34.998092380545884,0.05653992053127484,39.25686993811196,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model10.joblib
43,1,1,{'model__alpha': 51.79474679231202},0.05253880025133928,36.853641550186495,0.04085920153869216,41.04588909692567,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model11.joblib
43,1,1,{'model__alpha': 193.06977288832496},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model12.joblib
43,1,1,{'model__alpha': 719.6856730011514},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model13.joblib
43,1,1,{'model__alpha': 2682.695795279722},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model14.joblib
43,1,1,{'model__alpha': 10000.0},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_breakpoint_results/Lasso Regression_init1_fold1_model15.joblib
43,1,2,{'model__alpha': 0.0001},0.2343726536091258,34.71230254635832,0.31239650328931856,32.49523055188878,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.0003727593720314938},0.23437248531603458,34.71230263689893,0.31238156380700055,32.49527289943263,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model2.joblib
43,1,2,{'model__alpha': 0.0013894954943731374},0.2343701515141554,34.7123038922956,0.31232381031130707,32.495431950421384,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model3.joblib
43,1,2,{'model__alpha': 0.005179474679231213},0.23433774211265682,34.71232131841437,0.31207933072269045,32.496040566651196,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model4.joblib
43,1,2,{'model__alpha': 0.019306977288832496},0.23395591180400963,34.71253482372363,0.31073441146435743,32.498542214474256,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model5.joblib
43,1,2,{'model__alpha': 0.07196856730011514},0.2306773676427812,34.71465370095328,0.30269670080887134,32.509838663511786,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model6.joblib
43,1,2,{'model__alpha': 0.2682695795279725},0.20603051253737692,34.73515977899525,0.27613695191793924,32.561171163463996,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model7.joblib
43,1,2,{'model__alpha': 1.0},0.18059683324236436,34.82839393813649,0.23583757756307538,32.79650164937563,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model8.joblib
43,1,2,{'model__alpha': 3.727593720314938},0.12159578523187968,35.29769347638058,0.14320513460716344,33.76043799202766,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model9.joblib
43,1,2,{'model__alpha': 13.89495494373136},0.061729621548843004,36.2590418602817,0.07456207895921758,35.33063421458782,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model10.joblib
43,1,2,{'model__alpha': 51.79474679231202},0.0443935308837736,38.032374174249284,0.04523831367773921,38.72282029306828,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model11.joblib
43,1,2,{'model__alpha': 193.06977288832496},-7.549516567451064e-16,42.166830221359035,-0.012267137427016905,44.49694762381087,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model12.joblib
43,1,2,{'model__alpha': 719.6856730011514},-7.549516567451064e-16,42.166830221359035,-0.012267137427016905,44.49694762381087,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model13.joblib
43,1,2,{'model__alpha': 2682.695795279722},-7.549516567451064e-16,42.166830221359035,-0.012267137427016905,44.49694762381087,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model14.joblib
43,1,2,{'model__alpha': 10000.0},-7.549516567451064e-16,42.166830221359035,-0.012267137427016905,44.49694762381087,model_multi_output_breakpoint_results/Lasso Regression_init1_fold2_model15.joblib
43,1,3,{'model__alpha': 0.0001},0.23689454477647098,33.99225835790962,0.31012364855415236,35.07544508031453,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model1.joblib
43,1,3,{'model__alpha': 0.0003727593720314938},0.23689442970994623,33.99225842621692,0.31013507393921735,35.075451211694755,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model2.joblib
43,1,3,{'model__alpha': 0.0013894954943731374},0.23689283070564054,33.992259375518955,0.3101766948378636,35.07547516319988,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model3.joblib
43,1,3,{'model__alpha': 0.005179474679231213},0.2368706133827673,33.99227255318941,0.31031874056543374,35.07557310962955,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model4.joblib
43,1,3,{'model__alpha': 0.019306977288832496},0.23656190588913906,33.992455565730474,0.31066421866047234,35.076089479123176,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model5.joblib
43,1,3,{'model__alpha': 0.07196856730011514},0.23284367996903327,33.9947582973051,0.30670828175517717,35.0813270701305,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model6.joblib
43,1,3,{'model__alpha': 0.2682695795279725},0.2093304170091117,34.015061408778145,0.2746370332628255,35.12185466844428,model_multi_output_breakpoint_results/Lasso Regression_init1_fold3_model7.joblib
