seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{},0.6086156143857272,31.171941319472875,0.5753819317029955,36.033121875493975,model_multi_output_PARAFAC_Br_results/Linear Regression_init1_fold1_model1.joblib
43,1,2,{},0.6091113633749792,32.19866264308634,0.5290534042283486,31.997161414589545,model_multi_output_PARAFAC_Br_results/Linear Regression_init1_fold2_model1.joblib
43,1,3,{},0.6140082774737939,31.574172854158434,0.5417606202008514,33.98897950201062,model_multi_output_PARAFAC_Br_results/Linear Regression_init1_fold3_model1.joblib
43,1,4,{},0.6183527894558922,31.84988831904654,0.5405274003490025,33.07009385882558,model_multi_output_PARAFAC_Br_results/Linear Regression_init1_fold4_model1.joblib
43,1,5,{},0.605522265620749,32.34872945328787,0.4976785720704848,31.69008450248357,model_multi_output_PARAFAC_Br_results/Linear Regression_init1_fold5_model1.joblib
44,2,1,{},0.601119180283629,31.867044000285283,0.6101486693225473,32.95530549444588,model_multi_output_PARAFAC_Br_results/Linear Regression_init2_fold1_model1.joblib
44,2,2,{},0.6233406274483559,31.900521093066583,0.4658059302475147,33.05517579024433,model_multi_output_PARAFAC_Br_results/Linear Regression_init2_fold2_model1.joblib
44,2,3,{},0.5995381671006704,31.448635123450725,0.6300417099503908,34.39334503257549,model_multi_output_PARAFAC_Br_results/Linear Regression_init2_fold3_model1.joblib
44,2,4,{},0.6180192435209264,32.446528666005584,0.527576679260277,30.708396074448096,model_multi_output_PARAFAC_Br_results/Linear Regression_init2_fold4_model1.joblib
44,2,5,{},0.6087155260656484,31.69407726523631,0.591402357805104,33.816383743819195,model_multi_output_PARAFAC_Br_results/Linear Regression_init2_fold5_model1.joblib
45,3,1,{},0.6171489785725817,31.508707862077397,0.516597528195688,34.87503602109091,model_multi_output_PARAFAC_Br_results/Linear Regression_init3_fold1_model1.joblib
45,3,2,{},0.6219149004993547,32.24030289001737,0.48318770325942084,31.612208331966986,model_multi_output_PARAFAC_Br_results/Linear Regression_init3_fold2_model1.joblib
45,3,3,{},0.586814273215999,30.459291199926703,0.6067925469466672,38.362621781917454,model_multi_output_PARAFAC_Br_results/Linear Regression_init3_fold3_model1.joblib
45,3,4,{},0.6139187730276265,33.16710149617572,0.5485946757324341,27.1280350073067,model_multi_output_PARAFAC_Br_results/Linear Regression_init3_fold4_model1.joblib
45,3,5,{},0.6115544024675288,31.787606294906983,0.5764897180852955,33.32158002839482,model_multi_output_PARAFAC_Br_results/Linear Regression_init3_fold5_model1.joblib
46,4,1,{},0.6285464019137488,32.46393839048349,0.4946219149942747,30.615085700419037,model_multi_output_PARAFAC_Br_results/Linear Regression_init4_fold1_model1.joblib
46,4,2,{},0.6197657129440888,31.688804121761496,0.517310467339404,33.69503778887577,model_multi_output_PARAFAC_Br_results/Linear Regression_init4_fold2_model1.joblib
46,4,3,{},0.5908842201788083,32.11240886229572,0.6390743509748766,32.266106123363144,model_multi_output_PARAFAC_Br_results/Linear Regression_init4_fold3_model1.joblib
46,4,4,{},0.5957106979790332,32.02325665663796,0.643091959839445,32.175853455641864,model_multi_output_PARAFAC_Br_results/Linear Regression_init4_fold4_model1.joblib
46,4,5,{},0.61685014225757,31.036592547408873,0.5584325155938981,36.23010113994569,model_multi_output_PARAFAC_Br_results/Linear Regression_init4_fold5_model1.joblib
47,5,1,{},0.6016422587965431,32.507877567750306,0.6168304102306563,30.572534307354903,model_multi_output_PARAFAC_Br_results/Linear Regression_init5_fold1_model1.joblib
47,5,2,{},0.6015298787599181,31.807541236917523,0.5955983274505348,32.86525397136999,model_multi_output_PARAFAC_Br_results/Linear Regression_init5_fold2_model1.joblib
47,5,3,{},0.6296995581309115,32.3672598139366,0.4493946054972023,31.40063637469987,model_multi_output_PARAFAC_Br_results/Linear Regression_init5_fold3_model1.joblib
47,5,4,{},0.6229942468551469,31.5983777669465,0.54339242368046,33.98694122318978,model_multi_output_PARAFAC_Br_results/Linear Regression_init5_fold4_model1.joblib
47,5,5,{},0.5953057141027207,30.971442554195598,0.6328861302031358,36.798764654115054,model_multi_output_PARAFAC_Br_results/Linear Regression_init5_fold5_model1.joblib
48,6,1,{},0.6209260293515726,31.69389481283647,0.5347304896944494,34.38671192020532,model_multi_output_PARAFAC_Br_results/Linear Regression_init6_fold1_model1.joblib
48,6,2,{},0.6012244793341119,31.67318346322414,0.6160298425128153,33.69288770240965,model_multi_output_PARAFAC_Br_results/Linear Regression_init6_fold2_model1.joblib
48,6,3,{},0.6080678028713299,32.22640181705819,0.5956910590676555,31.2893684096396,model_multi_output_PARAFAC_Br_results/Linear Regression_init6_fold3_model1.joblib
48,6,4,{},0.595563342949441,30.6269762127019,0.603538231810257,37.67793937638568,model_multi_output_PARAFAC_Br_results/Linear Regression_init6_fold4_model1.joblib
48,6,5,{},0.6294975740298419,32.94220366074315,0.43379913825587596,28.737953419088633,model_multi_output_PARAFAC_Br_results/Linear Regression_init6_fold5_model1.joblib
49,7,1,{},0.6224026873183218,32.03198069507293,0.5186112747688222,32.62255806655792,model_multi_output_PARAFAC_Br_results/Linear Regression_init7_fold1_model1.joblib
49,7,2,{},0.6108657445046332,31.67733478619818,0.5816767380154885,33.70433377958766,model_multi_output_PARAFAC_Br_results/Linear Regression_init7_fold2_model1.joblib
49,7,3,{},0.6114474362624274,32.57732708437466,0.5744326530428283,29.95828525292837,model_multi_output_PARAFAC_Br_results/Linear Regression_init7_fold3_model1.joblib
49,7,4,{},0.6042829214609957,31.17983388366007,0.5796732819175633,35.629785315044316,model_multi_output_PARAFAC_Br_results/Linear Regression_init7_fold4_model1.joblib
49,7,5,{},0.603433896087174,31.915050421564057,0.446532699370224,32.80086825055936,model_multi_output_PARAFAC_Br_results/Linear Regression_init7_fold5_model1.joblib
50,8,1,{},0.6014881307767315,31.911232414697036,0.6157384115474891,32.73304708959247,model_multi_output_PARAFAC_Br_results/Linear Regression_init8_fold1_model1.joblib
50,8,2,{},0.6236784495552654,30.800589700452015,0.5177045182260702,37.313704264092806,model_multi_output_PARAFAC_Br_results/Linear Regression_init8_fold2_model1.joblib
50,8,3,{},0.6049015912903195,30.58190716696604,0.6061339249595428,37.631711189001344,model_multi_output_PARAFAC_Br_results/Linear Regression_init8_fold3_model1.joblib
50,8,4,{},0.6026271915696161,32.59987535862019,0.6087083687249395,29.742790122027564,model_multi_output_PARAFAC_Br_results/Linear Regression_init8_fold4_model1.joblib
50,8,5,{},0.6169818928830066,33.418996445420674,0.5004253437733078,25.87449924652043,model_multi_output_PARAFAC_Br_results/Linear Regression_init8_fold5_model1.joblib
51,9,1,{},0.6188068768198671,31.909078211301356,0.5222672621774272,32.98822610910549,model_multi_output_PARAFAC_Br_results/Linear Regression_init9_fold1_model1.joblib
51,9,2,{},0.6134259867423276,31.59681393585339,0.5679480740103287,34.12531329776134,model_multi_output_PARAFAC_Br_results/Linear Regression_init9_fold2_model1.joblib
51,9,3,{},0.595571163974692,32.18472136967771,0.6148458855135308,32.06241037445237,model_multi_output_PARAFAC_Br_results/Linear Regression_init9_fold3_model1.joblib
51,9,4,{},0.6154565356462983,31.06828477116187,0.5742473603611928,36.02582288920895,model_multi_output_PARAFAC_Br_results/Linear Regression_init9_fold4_model1.joblib
