seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9794696959416628,3.3122949301973614,0.9301964330242324,9.71860711856599,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9635935534694526,4.511094443848075,0.9396844289606416,8.639909104214416,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.957469316630703,3.8151246714322395,0.9037512868483605,8.943974801101218,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9668668355712626,3.8741124693176276,0.9350950050997164,8.60114605331867,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9466352694203912,3.951722324940282,0.8864543196535267,9.716441783114382,model_multi_output_PARAFAC_Br_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9710205572640112,3.633249880529443,0.8923381913587678,10.946041614337677,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9522594348550324,3.546196984579642,0.8866010604499452,10.518604567677187,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9649881181392302,3.930438216191574,0.8769100234704623,9.469439373793382,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9593422419485688,4.168833154589258,0.9442567828546311,8.001286331787533,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9505676585456587,4.290797196498608,0.8697246712417558,13.820835540446879,model_multi_output_PARAFAC_Br_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9728495038875302,4.015504032906632,0.9304746596109055,8.025850940252626,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9667940504651765,3.651538759095028,0.8933911261847873,9.836538402475941,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold2_model1.joblib
45,3,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9618918875218571,4.105983071902108,0.8742008004582292,13.201920199796353,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold3_model1.joblib
45,3,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9712607705593012,4.508432413707524,0.9078153865742079,6.224773288223217,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold4_model1.joblib
45,3,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9487931889120189,4.49402645138697,0.8945600001454188,8.567789569641647,model_multi_output_PARAFAC_Br_results/Neural Network_init3_fold5_model1.joblib
46,4,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9483452940745167,4.776987322261671,0.8629530136763206,5.75103392759303,model_multi_output_PARAFAC_Br_results/Neural Network_init4_fold1_model1.joblib
46,4,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9683623512483137,3.7713419710982983,0.7880628333931041,18.032793782115235,model_multi_output_PARAFAC_Br_results/Neural Network_init4_fold2_model1.joblib
46,4,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9683737768420905,4.252747207787644,0.9352433059921944,6.637826486873379,model_multi_output_PARAFAC_Br_results/Neural Network_init4_fold3_model1.joblib
46,4,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9579268007387647,3.55789286963973,0.941254431647636,9.816581704299265,model_multi_output_PARAFAC_Br_results/Neural Network_init4_fold4_model1.joblib
46,4,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9715975531240302,3.0617094904103292,0.9145079007668325,14.088614166314088,model_multi_output_PARAFAC_Br_results/Neural Network_init4_fold5_model1.joblib
47,5,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9444841657630608,4.605827265784361,0.8984950850535733,6.0821927436865675,model_multi_output_PARAFAC_Br_results/Neural Network_init5_fold1_model1.joblib
47,5,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9744291515221546,3.8534775274068593,0.9498934910801745,8.336743233880089,model_multi_output_PARAFAC_Br_results/Neural Network_init5_fold2_model1.joblib
47,5,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9600129988257595,3.953081513290151,0.839987659123576,11.242628366090033,model_multi_output_PARAFAC_Br_results/Neural Network_init5_fold3_model1.joblib
47,5,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9586835442072843,3.4924125384994276,0.8638093084648292,12.026283609702672,model_multi_output_PARAFAC_Br_results/Neural Network_init5_fold4_model1.joblib
47,5,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9727730637293345,3.344673606495847,0.8914502034237056,12.785419216466922,model_multi_output_PARAFAC_Br_results/Neural Network_init5_fold5_model1.joblib
48,6,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9661148337343229,3.2886264029728665,0.8712623648085049,14.2074880656652,model_multi_output_PARAFAC_Br_results/Neural Network_init6_fold1_model1.joblib
48,6,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9585143251557,4.395414199260549,0.9295946116951377,6.254902212154056,model_multi_output_PARAFAC_Br_results/Neural Network_init6_fold2_model1.joblib
48,6,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9427188461240881,4.3598174959444105,0.8860015381901732,7.92402198702609,model_multi_output_PARAFAC_Br_results/Neural Network_init6_fold3_model1.joblib
48,6,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9810190203671858,3.679418150901454,0.9418625141165183,9.278750994717342,model_multi_output_PARAFAC_Br_results/Neural Network_init6_fold4_model1.joblib
48,6,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9454035118754562,3.8602216038596344,0.8212302294755025,9.857514890476235,model_multi_output_PARAFAC_Br_results/Neural Network_init6_fold5_model1.joblib
49,7,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9484986453155235,4.346356658019869,0.8752976179722797,12.926064674265202,model_multi_output_PARAFAC_Br_results/Neural Network_init7_fold1_model1.joblib
49,7,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9699434396694648,4.173850246954241,0.7571766988220161,16.0812459783315,model_multi_output_PARAFAC_Br_results/Neural Network_init7_fold2_model1.joblib
49,7,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9445489253788933,3.9228740959029453,0.9242025913235443,9.029157148395528,model_multi_output_PARAFAC_Br_results/Neural Network_init7_fold3_model1.joblib
49,7,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9615272822467957,4.217830765665419,0.905475766585712,8.21045653467364,model_multi_output_PARAFAC_Br_results/Neural Network_init7_fold4_model1.joblib
49,7,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9629166946622416,3.284801087403443,0.878317844982487,14.366787707087752,model_multi_output_PARAFAC_Br_results/Neural Network_init7_fold5_model1.joblib
50,8,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9645345718098504,3.317085056543129,0.9299585778068536,10.132150127197432,model_multi_output_PARAFAC_Br_results/Neural Network_init8_fold1_model1.joblib
50,8,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9614801712328551,4.031084905271105,0.9130129880996647,8.554219995515641,model_multi_output_PARAFAC_Br_results/Neural Network_init8_fold2_model1.joblib
50,8,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9598879811695623,4.143325210734881,0.8999464544940745,8.810984682131801,model_multi_output_PARAFAC_Br_results/Neural Network_init8_fold3_model1.joblib
50,8,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9713204370917733,4.65829541498429,0.9288650590193026,6.311017157381823,model_multi_output_PARAFAC_Br_results/Neural Network_init8_fold4_model1.joblib
