seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.6045502255037692,31.18516312759371,0.5733563027547739,36.02167699529916,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.0003727593720314938},0.6043171435482819,31.185511598001973,0.5732086606547289,36.02146730992492,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.0013894954943731374},0.602703108881771,31.187580165591942,0.5719134952210484,36.021215582518785,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.005179474679231213},0.5962015664799829,31.19706376264046,0.566394781281212,36.02174267181489,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.019306977288832496},0.5852693672707687,31.218235683114603,0.5629017086107471,36.016768149997446,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 0.07196856730011514},0.5651206287110531,31.259779260042166,0.5472179820428874,36.004279079274845,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 0.2682695795279725},0.5107020436144082,31.424028253998593,0.49882580512188746,36.053061408986345,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 1.0},0.34215747566067956,32.09642635051189,0.3424118741553539,36.48809496021588,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 3.727593720314938},0.1662992740802669,33.344861276534274,0.16253928389583552,37.42072518449788,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 13.89495494373136},0.07112640461028914,34.91635769123065,0.0598733626642427,38.86367179514673,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model10.joblib
43,1,1,{'model__alpha': 51.79474679231202},0.05253880025133928,36.853641550186495,0.04085920153869216,41.04588909692567,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model11.joblib
43,1,1,{'model__alpha': 193.06977288832496},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model12.joblib
43,1,1,{'model__alpha': 719.6856730011514},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model13.joblib
43,1,1,{'model__alpha': 2682.695795279722},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model14.joblib
43,1,1,{'model__alpha': 10000.0},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold1_model15.joblib
43,1,2,{'model__alpha': 0.0001},0.6059609746924651,32.21399458691596,0.5190783887436783,31.955877183176693,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.0003727593720314938},0.6057890696658859,32.2142252186917,0.5187770411059418,31.956049384690765,model_multi_output_PARAFAC_Br_results/Lasso Regression_init1_fold2_model2.joblib
