seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.05}",0.6026696795617064,31.187481794014094,0.568717018316665,36.03696028300187,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model1.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",0.6026604208527779,31.18752856262838,0.5687149334075599,36.03738341478303,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model2.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",0.6025785528605294,31.18795037391531,0.5686865997424634,36.04055345523835,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model3.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",0.6024823613053585,31.188458868082982,0.5686332982202399,36.04347187338111,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model4.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.95}",0.6024693299955788,31.188528637053206,0.5686249688966208,36.043800361016366,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model5.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.05}",0.6028699833403877,31.186850313333004,0.5686453807116405,36.008851154944644,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model6.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.1}",0.6028776639219297,31.18677813897284,0.5686907096075601,36.01114002143662,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model7.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.5}",0.6028467731347903,31.186785487863983,0.5689621666316615,36.027904228339786,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model8.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.9}",0.6026349118054892,31.187915835531243,0.5690376411718461,36.040700457879396,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model9.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.95}",0.602593591425937,31.18814387019711,0.5690177238493586,36.04220740956725,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model10.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.05}",0.5986908669645075,31.210318930397467,0.5629058503902691,35.89053177319611,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model11.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.1}",0.5990467356740192,31.208028275999624,0.5633775336992441,35.8979934445551,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model12.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.5}",0.6014573001431593,31.1927032974525,0.5668580929889412,35.966154515284906,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model13.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.9}",0.6024266582154827,31.18725042624208,0.5693116685150248,36.03191749617049,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model14.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.95}",0.6023946268896772,31.18758528816894,0.5695238301779885,36.03726868903972,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model15.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.05}",0.5790021937506907,31.323306106013582,0.5422533111119998,35.72518020473602,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model16.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.1}",0.5796136418933122,31.317858115011568,0.5429233755735158,35.73148676399885,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model17.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.5}",0.5857291332338191,31.26606131989928,0.5499117061627006,35.80628726877124,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model18.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.9}",0.5935966979114262,31.201196067928322,0.5607068220728292,36.00244042273253,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model19.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.95}",0.5947415064157295,31.196228400107326,0.5628361425813116,36.03007845681219,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model20.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.05}",0.5513395750371151,31.530408540213166,0.517008286677141,35.64565129667878,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model21.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.1}",0.5514092877702451,31.521628768883165,0.5171769541949285,35.647741360404396,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model22.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.5}",0.5552644996901043,31.438478754509305,0.5203709037173889,35.689451833936424,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model23.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.9}",0.5667388087719669,31.297707668252578,0.5302960324594531,35.896307455159075,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model24.joblib
43,1,1,"{'model__alpha': 0.019306977288832496, 'model__l1_ratio': 0.95}",0.5705360709396418,31.265149290541586,0.5337647598549339,35.99641674738959,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model25.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.05}",0.5222674076645013,31.888955687014764,0.49223732811231286,35.75376583246559,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model26.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.1}",0.5219924505166302,31.87395758993086,0.49170679601046496,35.74802336574126,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model27.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.5}",0.5205709586138774,31.7322045907713,0.4885574149496767,35.71005817909791,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model28.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.9}",0.5245952229695243,31.502874733188815,0.49065388041363656,35.80644853744826,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model29.joblib
43,1,1,"{'model__alpha': 0.07196856730011514, 'model__l1_ratio': 0.95}",0.5256461104462402,31.45958422687634,0.490892166033586,35.888356265183525,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model30.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.05}",0.48510127226688926,32.61592422172173,0.4656717673301237,36.234915583143696,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model31.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.1}",0.48387518043776756,32.57530552317801,0.4640113447949659,36.20492277021696,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model32.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.5}",0.47701199691994356,32.241955996393855,0.4538611990010618,35.97835317435404,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model33.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.9}",0.4739795985092271,31.84919307342085,0.43994457038969853,35.8445408749785,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model34.joblib
43,1,1,"{'model__alpha': 0.2682695795279725, 'model__l1_ratio': 0.95}",0.47494272276814115,31.755666105146567,0.43886895073531174,35.86557790082226,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model35.joblib
43,1,1,"{'model__alpha': 1.0, 'model__l1_ratio': 0.05}",0.4084491957439151,34.71288397515045,0.40133143520960723,38.153733175702016,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model36.joblib
43,1,1,"{'model__alpha': 1.0, 'model__l1_ratio': 0.1}",0.40100540985279975,34.61080028426478,0.39464745019007436,38.056446904402605,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model37.joblib
43,1,1,"{'model__alpha': 1.0, 'model__l1_ratio': 0.5}",0.3277533435967819,33.66904948720166,0.31682074009332367,37.18405254861952,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model38.joblib
43,1,1,"{'model__alpha': 1.0, 'model__l1_ratio': 0.9}",0.31245393392170084,32.550518900778016,0.2933310648154071,36.23759924935548,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model39.joblib
43,1,1,"{'model__alpha': 1.0, 'model__l1_ratio': 0.95}",0.3156644755019012,32.41268079987803,0.2934627736333168,36.16560741708055,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model40.joblib
43,1,1,"{'model__alpha': 3.727593720314938, 'model__l1_ratio': 0.05}",0.25691538041444034,38.06469433918661,0.2507606637713682,41.66830073213799,model_multi_output_PARAFAC_pH_results/ElasticNet Regression_init1_fold1_model41.joblib
