seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.4799621105194092,16.16734690682275,-1.3580514192581177,20.04540708823813,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model1.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",0.5211501121520996,12.920112964040731,0.5236269235610962,16.967856501246608,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model2.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}",-1.3836925029754639,12.678114812161581,-1.2554333209991455,15.196226587898101,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model3.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300}",0.605993390083313,8.675344100736663,0.6211503148078918,11.748878290485743,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model4.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9109395146369934,8.509792174661364,0.8848930597305298,11.503488854112979,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model5.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9218026995658875,8.23734527436179,0.8932838439941406,11.029750997905422,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model6.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9676904678344727,4.90271437327753,0.9461194276809692,9.563710093500223,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model7.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",0.9735795259475708,4.287978503675482,0.9473680257797241,9.620741703668845,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model8.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9297081232070923,7.841198547976657,0.9069992303848267,10.577185766832638,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model9.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9360253214836121,7.1993439391734615,0.9099370241165161,10.349257534851677,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model10.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9780107736587524,4.087387944282957,0.944999098777771,10.526324359267749,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model11.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300}",0.9819811582565308,3.808521359593475,0.9471893310546875,10.52186260755791,model_multi_output_PARAFAC_results/XGBoost_init1_fold1_model12.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.3174889087677002,16.28853496243655,-1.6070362329483032,18.503752945265205,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model1.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",0.5579661130905151,12.953797944368684,0.38711312413215637,14.698829797470427,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model2.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}",-1.2342443466186523,12.689943942483556,-1.4218971729278564,15.8829805297147,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model3.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300}",0.6314138174057007,8.969558817601165,0.552977442741394,11.427576053611462,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model4.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.923300564289093,8.307245374087667,0.8169094324111938,9.640943798624408,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model5.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9302252531051636,7.920848816515489,0.8288046717643738,9.222308818726392,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model6.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9656470417976379,5.69496263761143,0.931247353553772,6.532407110162066,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model7.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",0.9703269004821777,5.345819955617131,0.9409894943237305,6.330687703333846,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model8.joblib
43,1,2,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9370219111442566,7.71810863995425,0.8437506556510925,9.077033014021602,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model9.joblib
43,1,2,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9429756999015808,7.450526835638611,0.8582541346549988,8.88446470079031,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model10.joblib
43,1,2,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9754639863967896,5.0970014930817555,0.9573442339897156,5.9859860718582185,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model11.joblib
43,1,2,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300}",0.979289174079895,4.853499866861998,0.9652999043464661,5.558199758707701,model_multi_output_PARAFAC_results/XGBoost_init1_fold2_model12.joblib
43,1,3,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.4391272068023682,16.43901979727534,-1.2434850931167603,19.0540432806846,model_multi_output_PARAFAC_results/XGBoost_init1_fold3_model1.joblib
43,1,3,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",0.5379661321640015,13.071875358207981,0.5089913606643677,15.44059857156141,model_multi_output_PARAFAC_results/XGBoost_init1_fold3_model2.joblib
