seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.05}",0.4846875696221639,31.746765446639824,0.4674860254827268,36.218563612731025,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model1.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",0.48468756921875666,31.746765435672103,0.46748696125154404,36.2185652330695,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model2.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",0.4846875615210166,31.74676537092874,0.46749444371561266,36.21857815568075,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model3.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",0.48468754583530743,31.74676534706641,0.46750192825006287,36.218591123260154,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model4.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.95}",0.48468754332969544,31.746765346961986,0.46750285281085446,36.21859278619905,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model5.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.05}",0.4846874421839451,31.746767130647356,0.4674852835135477,36.21847677940228,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model6.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.1}",0.4846874365721055,31.746766978538112,0.4674887653727877,36.21848265519561,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model7.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.5}",0.4846873295096289,31.746766080476043,0.46751655762998795,36.21852986445819,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model8.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.9}",0.48468711209118637,31.746765749255125,0.467544223146281,36.21857789030309,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model9.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.95}",0.4846870765281538,31.746765747865197,0.4675476907694092,36.21858424088886,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model10.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.05}",0.4846856917648397,31.746790399663535,0.46748135032610527,36.218176422358994,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model11.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.1}",0.4846856135926285,31.746788300969637,0.4674942439568068,36.21819594968697,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model12.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.5}",0.4846841240983243,31.746775897222385,0.46759644637871745,36.2183586366214,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model13.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.9}",0.4846810919845185,31.746771327233706,0.46769695536003286,36.21853287467589,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model14.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.95}",0.4846806074076607,31.7467713084548,0.46770938399835515,36.21855533242222,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model15.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.05}",0.48466234764592586,31.74710735275133,0.4674513260977056,36.217368901363166,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model16.joblib
43,1,1,"{'model__alpha': 0.005179474679231213, 'model__l1_ratio': 0.1}",0.48466125808722715,31.74707888562649,0.4674981901882841,36.21741134981687,model_multi_output_SUVA_Br_results/ElasticNet Regression_init1_fold1_model17.joblib
