seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.4846875407124175,31.7467653474817,0.4675037844900417,36.21859440295752,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.0003727593720314938},0.4846870399302949,31.746765755425436,0.46755113005176574,36.21859010305638,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.0013894954943731374},0.484680096506149,31.74677141586067,0.46772167149621496,36.21857939709725,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.005179474679231213},0.4845842293771006,31.74684963930858,0.4682770530594194,36.21859521921228,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.019306977288832496},0.4832938000524537,31.74784936661672,0.46931159523109434,36.219277901649804,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 0.07196856730011514},0.47180070174398486,31.756396805230104,0.46382846144420303,36.2263234162814,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 0.2682695795279725},0.4193656171577814,31.808581499274606,0.40741529912962104,36.28791052062512,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 1.0},0.34955801983169055,32.02636961313776,0.3254161026317931,36.51413463057245,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 3.727593720314938},0.18598114274979963,33.017197679363264,0.1562804606786618,37.34110119915685,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 13.89495494373136},0.07074104711730529,34.95788981408152,0.05817417412742607,39.06470033463644,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model10.joblib
43,1,1,{'model__alpha': 51.79474679231202},0.05253880025133928,36.853641550186495,0.04085920153869216,41.04588909692567,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model11.joblib
43,1,1,{'model__alpha': 193.06977288832496},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model12.joblib
43,1,1,{'model__alpha': 719.6856730011514},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model13.joblib
43,1,1,{'model__alpha': 2682.695795279722},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model14.joblib
43,1,1,{'model__alpha': 10000.0},-2.220446049250313e-16,41.74827934171304,-0.006038502075688656,45.9104445556283,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold1_model15.joblib
43,1,2,{'model__alpha': 0.0001},0.48685947317327144,32.84000876773501,0.4106608036764262,31.978349548494926,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.0003727593720314938},0.4868590412979007,32.84000914506283,0.41061680054985344,31.9783562556777,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model2.joblib
43,1,2,{'model__alpha': 0.0013894954943731374},0.4868530531603176,32.84001437668378,0.4104487631475462,31.97838435609616,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model3.joblib
43,1,2,{'model__alpha': 0.005179474679231213},0.486770364943128,32.840086769109135,0.409768067631351,31.978537873644093,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model4.joblib
43,1,2,{'model__alpha': 0.019306977288832496},0.485627556041233,32.841086645674736,0.40646313093882613,31.979722508449232,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model5.joblib
43,1,2,{'model__alpha': 0.07196856730011514},0.4755745539778048,32.84967731898605,0.3901213786698662,31.989025370149005,model_multi_output_SUVA_Br_results/Lasso Regression_init1_fold2_model6.joblib
