seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9714377440297295,3.344077600062679,0.9189534859873735,11.127134549816128,model_multi_output_SUVA_Br_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9262281535823524,4.622373925780522,0.8647895334930421,9.594196241611305,model_multi_output_SUVA_Br_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9254670103766444,3.854294444909976,0.8726066165936318,10.244018826081486,model_multi_output_SUVA_Br_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9761146644565601,3.7995706304471057,0.9468092232654955,8.429169508407826,model_multi_output_SUVA_Br_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9683249998150245,3.735243200532152,0.8526599861488158,10.039215639212093,model_multi_output_SUVA_Br_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9725754334431906,3.5645367048519434,0.9023714946612547,10.930633330813112,model_multi_output_SUVA_Br_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.953936543416134,3.5060075451715718,0.8864997478023477,10.006921639978527,model_multi_output_SUVA_Br_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9650473605355849,3.8453311210584027,0.8887293727331279,9.333203461150806,model_multi_output_SUVA_Br_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9584434572636329,4.1211987976635225,0.9143120872898788,8.692065500936506,model_multi_output_SUVA_Br_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9439954089886244,4.309102426734413,0.8560076344942154,11.77668486524628,model_multi_output_SUVA_Br_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9432400067811948,4.128931086386009,0.9036674550614737,8.11250386813975,model_multi_output_SUVA_Br_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9667012070991088,3.6140286650076745,0.8977795135534518,8.629256894203936,model_multi_output_SUVA_Br_results/Neural Network_init3_fold2_model1.joblib
45,3,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9399860259861205,4.1314767329808815,0.8601969214456228,13.084622700604072,model_multi_output_SUVA_Br_results/Neural Network_init3_fold3_model1.joblib
45,3,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9606791514791354,4.52496391422062,0.9014491953166222,6.917240830236847,model_multi_output_SUVA_Br_results/Neural Network_init3_fold4_model1.joblib
45,3,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9166063326562733,4.5150034018385865,0.8292196653668675,14.700638410840304,model_multi_output_SUVA_Br_results/Neural Network_init3_fold5_model1.joblib
46,4,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.973693537838272,4.570061588297502,0.8363285396520139,16.541552676025695,model_multi_output_SUVA_Br_results/Neural Network_init4_fold1_model1.joblib
