seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.5124986171722412,16.111434642398503,-1.3756506443023682,20.6480124178001,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model1.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",0.5033034086227417,12.886775619181154,0.5152707099914551,16.977496183339085,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model2.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}",-1.410738229751587,12.56124056128479,-1.2728049755096436,15.164332956968604,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model3.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300}",0.5960677862167358,8.622356118209643,0.6102357506752014,11.221484951373046,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model4.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9084804654121399,8.376495847111084,0.8886191248893738,10.963777592955882,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model5.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9218975901603699,7.531464190576587,0.8974423408508301,11.01786173493694,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model6.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9661383628845215,4.967758602791706,0.9467442631721497,9.34490392415449,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model7.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",0.9751136898994446,4.429963770212949,0.9477618336677551,9.516482908313066,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model8.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9333426356315613,7.009412112320822,0.9111437797546387,10.325773463748861,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model9.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9388915300369263,6.678250128362135,0.9157904386520386,10.149004162346136,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model10.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9791907072067261,4.1957293497941786,0.9499503970146179,9.727513583380944,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model11.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300}",0.9834815263748169,3.854308865775427,0.9510777592658997,9.804838973663093,model_multi_output_SUVA_Br_results/XGBoost_init1_fold1_model12.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.3471781015396118,16.406417505811934,-1.653294324874878,18.453447175698955,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model1.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",0.5417189598083496,12.89745422987227,0.3609914481639862,14.724337410109678,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model2.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}",-1.2565652132034302,12.396685339380468,-1.4726645946502686,15.828652160534569,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model3.joblib
43,1,2,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300}",0.6220322847366333,8.738297411605242,0.5336244702339172,11.50135747080515,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model4.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9237282872200012,8.13226067635498,0.8254345059394836,9.865173966053458,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model5.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",0.9324588775634766,7.79906966984168,0.8430495262145996,9.453098084223084,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model6.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.9621216058731079,6.069198738583937,0.9220393300056458,7.96649775489127,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model7.joblib
43,1,2,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",0.969255268573761,5.805362892879282,0.938062846660614,7.771808273983,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model8.joblib
43,1,2,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.9381343126296997,7.608341077130875,0.8541469573974609,9.11914734383545,model_multi_output_SUVA_Br_results/XGBoost_init1_fold2_model9.joblib
