seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.05}",0.43337775504796683,31.94489744624202,0.39936830416707947,36.257692053061156,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model1.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",0.43337775527901157,31.944897433353383,0.3993692238748938,36.25769320422147,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model2.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",0.4333777526965915,31.944897354687054,0.3993765754351132,36.25770258359914,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model3.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",0.43337774225884174,31.944897319527865,0.39938392032458797,36.25771194948813,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model4.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.95}",0.43337774041163524,31.94489731818782,0.3993848389876402,36.257713042701134,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model5.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.05}",0.43337750172946726,31.944899433467306,0.3993625804159088,36.25765561746931,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model6.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.1}",0.433377504813763,31.944899254789277,0.3993660182879445,36.25765972590101,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model7.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.5}",0.43337746828349777,31.944898163738475,0.3993934103242022,36.25769339354357,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model8.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.9}",0.43337732247137095,31.94489767592423,0.39942069646159883,36.257727531700084,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model9.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.95}",0.4333772967461629,31.94489765730022,0.39942409715488736,36.257731600253955,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model10.joblib
