seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{},0.43337777473583045,31.944897291950078,0.399370347171645,36.25770595125002,model_multi_output_SUVA_results/Linear Regression_init1_fold1_model1.joblib
43,1,2,{},0.4183069468164044,33.11226494169967,0.4351885327813899,31.978486208599655,model_multi_output_SUVA_results/Linear Regression_init1_fold2_model1.joblib
43,1,3,{},0.4376642078554097,32.32575179069447,0.37093856609654763,34.479176413813484,model_multi_output_SUVA_results/Linear Regression_init1_fold3_model1.joblib
43,1,4,{},0.434280226391245,32.6605848703329,0.3966429912066299,33.34822404277301,model_multi_output_SUVA_results/Linear Regression_init1_fold4_model1.joblib
43,1,5,{},0.4434839858185871,33.07802793893601,0.2836007485257309,32.12601389658095,model_multi_output_SUVA_results/Linear Regression_init1_fold5_model1.joblib
44,2,1,{},0.42338566687012713,32.686195134650866,0.43840778057567686,33.30512861088768,model_multi_output_SUVA_results/Linear Regression_init2_fold1_model1.joblib
44,2,2,{},0.44164529422417964,32.59219085289165,0.32451719633864345,33.85850121991161,model_multi_output_SUVA_results/Linear Regression_init2_fold2_model1.joblib
44,2,3,{},0.42145882927945316,32.20134531468004,0.45931430410936497,35.06782731889615,model_multi_output_SUVA_results/Linear Regression_init2_fold3_model1.joblib
44,2,4,{},0.4440411667489091,33.35539763314309,0.343798696324876,30.39644124079075,model_multi_output_SUVA_results/Linear Regression_init2_fold4_model1.joblib
44,2,5,{},0.4349798339253931,32.40528615051221,0.3963761782741984,34.54662642277398,model_multi_output_SUVA_results/Linear Regression_init2_fold5_model1.joblib
45,3,1,{},0.442808667308498,32.47920809463467,0.33045740480788355,34.41621936716537,model_multi_output_SUVA_results/Linear Regression_init3_fold1_model1.joblib
45,3,2,{},0.4443260181055404,33.08258357494064,0.30866355064125367,31.692733646621996,model_multi_output_SUVA_results/Linear Regression_init3_fold2_model1.joblib
45,3,3,{},0.4176034903971152,31.059641879626906,0.40818562106301537,39.31506835631892,model_multi_output_SUVA_results/Linear Regression_init3_fold3_model1.joblib
45,3,4,{},0.4230306404658151,34.05792447138705,0.44787583878944337,27.012235796490394,model_multi_output_SUVA_results/Linear Regression_init3_fold4_model1.joblib
45,3,5,{},0.4356704946968609,32.4593233488325,0.3943523249749094,34.13797914873068,model_multi_output_SUVA_results/Linear Regression_init3_fold5_model1.joblib
46,4,1,{},0.43056841259700995,33.522253712717756,0.4137998465236752,29.533985736666047,model_multi_output_SUVA_results/Linear Regression_init4_fold1_model1.joblib
46,4,2,{},0.44762714616207927,32.4673082384534,0.3004663998842818,34.160771394770975,model_multi_output_SUVA_results/Linear Regression_init4_fold2_model1.joblib
46,4,3,{},0.42168866959243284,32.74070311536356,0.44422261369105775,32.97999214675197,model_multi_output_SUVA_results/Linear Regression_init4_fold3_model1.joblib
46,4,4,{},0.41928141955127246,32.774646163174964,0.46047660428130266,32.8032215432476,model_multi_output_SUVA_results/Linear Regression_init4_fold4_model1.joblib
46,4,5,{},0.4446302105150937,31.813399400386754,0.355104118165647,36.776039896104784,model_multi_output_SUVA_results/Linear Regression_init4_fold5_model1.joblib
