seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9524506254968846,3.460517171822519,0.9108553503852566,10.657172010629793,model_multi_output_SUVA_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9714300909510121,4.473672340659521,0.9317810260680671,10.71928510003624,model_multi_output_SUVA_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9626843032004817,3.7542585274768845,0.9103349154974373,9.308514139714575,model_multi_output_SUVA_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9677954334969041,3.8383012455443373,0.9279499353497144,8.442496911110805,model_multi_output_SUVA_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.964125475627678,3.7818535038287173,0.9167354356912986,8.945890932879168,model_multi_output_SUVA_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9368237006518598,3.697768075177122,0.8599457036420854,12.998257649059287,model_multi_output_SUVA_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9543584541365713,3.5195006198365384,0.8793923550956583,10.318513743374371,model_multi_output_SUVA_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9593489762641744,3.8660975071585737,0.9362199088105297,8.644450080749632,model_multi_output_SUVA_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9254628648707437,4.258676642336251,0.8723717651966787,9.440126529043718,model_multi_output_SUVA_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9621709760625476,4.134438409279311,0.8661161919282732,14.701700113042879,model_multi_output_SUVA_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9492132082510564,4.101272783417359,0.8954858044360605,8.131522954884698,model_multi_output_SUVA_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9740131934684424,3.592400321136413,0.9135463731545391,8.688343327345155,model_multi_output_SUVA_results/Neural Network_init3_fold2_model1.joblib
45,3,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9589032565193933,4.073134346765181,0.9069044023092641,13.512721496545629,model_multi_output_SUVA_results/Neural Network_init3_fold3_model1.joblib
45,3,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9685107241670872,4.516833782239724,0.8989766923195738,6.915885268525507,model_multi_output_SUVA_results/Neural Network_init3_fold4_model1.joblib
45,3,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9439296294449516,4.406083390029167,0.9037028278883124,8.964672693049021,model_multi_output_SUVA_results/Neural Network_init3_fold5_model1.joblib
46,4,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9572555933574074,4.667886762196408,0.8768346658953419,11.14778242914922,model_multi_output_SUVA_results/Neural Network_init4_fold1_model1.joblib
46,4,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.8823983465262538,4.040889970091305,0.711698626887524,17.59962057017564,model_multi_output_SUVA_results/Neural Network_init4_fold2_model1.joblib
46,4,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9554461847067623,4.297186989212841,0.9128530866368895,6.754493396990609,model_multi_output_SUVA_results/Neural Network_init4_fold3_model1.joblib
46,4,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9358331238842398,3.6330826816923114,0.9282517786677567,9.767565255331245,model_multi_output_SUVA_results/Neural Network_init4_fold4_model1.joblib
46,4,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9378393121269257,3.1369317879188636,0.881389493485344,14.818068358373178,model_multi_output_SUVA_results/Neural Network_init4_fold5_model1.joblib
47,5,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9606249773978114,4.505235681792876,0.9028345837090166,7.473259339666704,model_multi_output_SUVA_results/Neural Network_init5_fold1_model1.joblib
47,5,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9711597373393518,3.923019514822305,0.9531432396255951,8.418609583073279,model_multi_output_SUVA_results/Neural Network_init5_fold2_model1.joblib
47,5,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9583963759029362,3.95125600717668,0.8480378683453116,13.081944628760866,model_multi_output_SUVA_results/Neural Network_init5_fold3_model1.joblib
47,5,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9512072305850205,3.5073243631627165,0.9067155666149912,10.291103385405838,model_multi_output_SUVA_results/Neural Network_init5_fold4_model1.joblib
47,5,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9637386194126927,3.385877216893107,0.8817628332309722,12.481394473625441,model_multi_output_SUVA_results/Neural Network_init5_fold5_model1.joblib
48,6,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9715985244743168,3.2185022356627733,0.870766292520951,14.086328082771598,model_multi_output_SUVA_results/Neural Network_init6_fold1_model1.joblib
48,6,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9704595170941381,4.309755841958135,0.9354460327351137,6.2295791850651945,model_multi_output_SUVA_results/Neural Network_init6_fold2_model1.joblib
48,6,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9615594423002376,4.223751864433013,0.899845831851132,9.780457111781677,model_multi_output_SUVA_results/Neural Network_init6_fold3_model1.joblib
48,6,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9307504785058759,3.877863638473974,0.9136681242491462,8.803796295891944,model_multi_output_SUVA_results/Neural Network_init6_fold4_model1.joblib
48,6,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9673421533058317,3.7595900537723628,0.9191577938572294,8.865982391153109,model_multi_output_SUVA_results/Neural Network_init6_fold5_model1.joblib
49,7,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9641265773454026,4.233887953948892,0.9108863473038665,9.247363005616604,model_multi_output_SUVA_results/Neural Network_init7_fold1_model1.joblib
49,7,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9514874556591975,4.260347471907526,0.7481363134026183,13.946901340023189,model_multi_output_SUVA_results/Neural Network_init7_fold2_model1.joblib
49,7,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9519874014838077,3.85117120280261,0.9245211644582406,8.769621938809149,model_multi_output_SUVA_results/Neural Network_init7_fold3_model1.joblib
49,7,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9594291593429926,4.257152476258926,0.8582518933262181,8.418379196594929,model_multi_output_SUVA_results/Neural Network_init7_fold4_model1.joblib
49,7,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9819326510329551,3.196055208714369,0.8755316025270782,12.695996499200186,model_multi_output_SUVA_results/Neural Network_init7_fold5_model1.joblib
50,8,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.966489233470177,3.2787456623062665,0.9280562321023922,10.249432201462492,model_multi_output_SUVA_results/Neural Network_init8_fold1_model1.joblib
50,8,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9468688359639245,4.05566373657821,0.8976399790341804,8.764635007120686,model_multi_output_SUVA_results/Neural Network_init8_fold2_model1.joblib
