seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,{'model__alpha': 0.0001},0.4333777747355512,31.94489729195242,0.39937033617240003,36.2577058943907,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model1.joblib
43,1,1,{'model__alpha': 0.0003727593720314938},0.4333777747319504,31.944897291982564,0.39937030616883895,36.25770573932502,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model2.joblib
43,1,1,{'model__alpha': 0.0013894954943731374},0.43337777468192196,31.9448972924015,0.3993701943007883,36.25770516160567,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model3.joblib
43,1,1,{'model__alpha': 0.005179474679231213},0.43337777398685573,31.944897298222138,0.39936977692754666,36.25770301230517,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model4.joblib
43,1,1,{'model__alpha': 0.019306977288832496},0.43337776433305175,31.94489737908031,0.39936821592740646,36.25769505896298,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model5.joblib
43,1,1,{'model__alpha': 0.07196856730011514},0.43337763040630684,31.94489850160182,0.39936232501150426,36.25766622239706,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model6.joblib
43,1,1,{'model__alpha': 0.2682695795279725},0.43337578043713093,31.944914047469553,0.39933937106017714,36.25756994452001,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model7.joblib
43,1,1,{'model__alpha': 1.0},0.43335062925920376,31.945127432482735,0.39924035653572437,36.25736455276352,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model8.joblib
43,1,1,{'model__alpha': 3.727593720314938},0.4330276336864657,31.947964468718965,0.39870215781152407,36.258619223515915,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model9.joblib
43,1,1,{'model__alpha': 13.89495494373136},0.4295823220873315,31.98197636025601,0.39503477301272116,36.28665132707491,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model10.joblib
43,1,1,{'model__alpha': 51.79474679231202},0.4063352893866064,32.29421282804032,0.3734978194986496,36.57943886045985,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model11.joblib
43,1,1,{'model__alpha': 193.06977288832496},0.3261098841272404,33.95319912467438,0.2987491766493588,38.201736567273265,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model12.joblib
43,1,1,{'model__alpha': 719.6856730011514},0.18731851875210317,37.444214165744015,0.16751884143638782,41.65829039929541,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model13.joblib
43,1,1,{'model__alpha': 2682.695795279722},0.07329025059677516,40.167414625552595,0.06124356677532015,44.35288079565363,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model14.joblib
43,1,1,{'model__alpha': 10000.0},0.022515073371435147,41.2777975247984,0.014550842770771677,45.44757162897517,model_multi_output_SUVA_results/Ridge Regression_init1_fold1_model15.joblib
43,1,2,{'model__alpha': 0.0001},0.41830694681611735,33.112264941702264,0.435188721008663,31.97848603260894,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model1.joblib
43,1,2,{'model__alpha': 0.0003727593720314938},0.41830694681241465,33.11226494173569,0.4351892344082823,31.978485552632367,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model2.joblib
43,1,2,{'model__alpha': 0.0013894954943731374},0.418306946760966,33.1122649422001,0.43519114805149767,31.978483764178417,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model3.joblib
43,1,2,{'model__alpha': 0.005179474679231213},0.4183069460461737,33.11226494865305,0.435198279919064,31.97847710732608,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model4.joblib
43,1,2,{'model__alpha': 0.019306977288832496},0.41830693611844716,33.112265038290644,0.43522484494567315,31.97845242909174,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model5.joblib
43,1,2,{'model__alpha': 0.07196856730011514},0.418306798394358,33.11226628246747,0.43532359561759854,31.97836232313285,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model6.joblib
43,1,2,{'model__alpha': 0.2682695795279725},0.4183048961142627,33.11228350152306,0.43568792964277325,31.97805249769943,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model7.joblib
43,1,2,{'model__alpha': 1.0},0.41827904097030866,33.112519265855546,0.4369948907564595,31.97725289803405,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model8.joblib
43,1,2,{'model__alpha': 3.727593720314938},0.4179473476035165,33.115626098309164,0.4412152982168783,31.978883789036946,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model9.joblib
43,1,2,{'model__alpha': 13.89495494373136},0.41442234932561856,33.15182720683494,0.4502269088344537,32.035528857172395,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model10.joblib
43,1,2,{'model__alpha': 51.79474679231202},0.39091131123936407,33.46357507135588,0.44511869190486736,32.58469574941004,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model11.joblib
43,1,2,{'model__alpha': 193.06977288832496},0.3115513362606636,35.01674923261656,0.3660760635341628,35.06767633429088,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model12.joblib
43,1,2,{'model__alpha': 719.6856730011514},0.17704494769806897,38.21888510717025,0.2065373745375168,39.514067287595395,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model13.joblib
43,1,2,{'model__alpha': 2682.695795279722},0.06855042825626853,40.716537996456466,0.0731507026719044,42.70628296155711,model_multi_output_SUVA_results/Ridge Regression_init1_fold2_model14.joblib
