seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.05}",0.4080755653058342,32.09068015434329,0.3597273501822891,36.16972096452089,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model1.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",0.4080755650191633,32.09068014393387,0.3597280737412585,36.169718127467306,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model2.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",0.40807555900056364,32.090680081719206,0.35973386554877684,36.16969526650986,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model3.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",0.40807554635975807,32.090680056823686,0.3597396339664297,36.16967291951683,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model4.joblib
43,1,1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.95}",0.4080755443259888,32.090680056337824,0.3597403604726274,36.169669937534785,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model5.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.05}",0.4080754175707698,32.09068168557338,0.3597477571861251,36.169862870622616,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model6.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.1}",0.40807541353692167,32.09068154139098,0.3597504853690063,36.169851786662875,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model7.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.5}",0.40807532977747574,32.090680677838044,0.359772109448401,36.16976493866262,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model8.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.9}",0.4080751535113101,32.090680332402385,0.3597936366292558,36.16967985207538,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model9.joblib
43,1,1,"{'model__alpha': 0.0003727593720314938, 'model__l1_ratio': 0.95}",0.40807512521215566,32.09068032556918,0.35979632133040396,36.169668737566425,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model10.joblib
43,1,1,"{'model__alpha': 0.0013894954943731374, 'model__l1_ratio': 0.05}",0.40807337549505523,32.09070290378851,0.3598222303420046,36.17040419668201,model_multi_output_SUVA_results/ElasticNet Regression_init1_fold1_model11.joblib
