seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.7062231832469841,15.233763978683077,0.672996453871874,20.13445704721777,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model1.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.7728680217418153,12.646287423266742,0.7395505251442567,17.046462686151482,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model2.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.8481660763885663,10.857052697057712,0.8191956451581304,14.243265622937974,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model3.joblib
43,1,1,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.8954817319227484,7.828186468679094,0.8669593949268055,11.26609326022733,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model4.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.8814169223154329,8.264867822430713,0.848974990164438,10.996351960572607,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model5.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.8972562938989446,7.447364487840675,0.8590789890929841,11.070864851810779,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model6.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9602429374373044,4.757037861908745,0.9278255049858626,10.12668894232107,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model7.joblib
43,1,1,"{'model__estimator__learning_rate': 0.05, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9721705231142723,4.421911543328002,0.9380643700401095,10.047220613038677,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model8.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.9108827867025943,6.989769856005543,0.8752754047816962,10.593673876128047,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model9.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.9240266941614521,6.7623547666216535,0.8872820628849034,10.434329410947383,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model10.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.9773983080490704,4.045403681086563,0.9411557596981549,10.037650114318257,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model11.joblib
43,1,1,"{'model__estimator__learning_rate': 0.1, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 300}",0.9822068963947345,3.765591180769113,0.9435356202654572,10.062495963788077,model_multi_output_SUVA_results/Gradient Boosting_init1_fold1_model12.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 200}",0.722120774789443,15.532663426723468,0.6315224489494735,17.116447815467595,model_multi_output_SUVA_results/Gradient Boosting_init1_fold2_model1.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 2, 'model__estimator__n_estimators': 300}",0.7887969923673476,12.69938020580982,0.6829284823146586,14.195593290204759,model_multi_output_SUVA_results/Gradient Boosting_init1_fold2_model2.joblib
43,1,2,"{'model__estimator__learning_rate': 0.01, 'model__estimator__max_depth': 3, 'model__estimator__n_estimators': 200}",0.8627153463807767,10.988475886983732,0.7475403460031209,14.668935247819968,model_multi_output_SUVA_results/Gradient Boosting_init1_fold2_model3.joblib
