seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9552912199096593,3.4836618494074507,0.9106117744172625,11.050253459421874,model_multi_output_SUVA_results/Neural Network_init1_fold1_model1.joblib
43,1,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.6766911965678609,6.664423480174177,0.6814341445115033,7.6910125932703695,model_multi_output_SUVA_results/Neural Network_init1_fold2_model1.joblib
43,1,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9327480984885914,4.041228560032908,0.901696289702766,10.378206340102937,model_multi_output_SUVA_results/Neural Network_init1_fold3_model1.joblib
43,1,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9048665984421195,4.274280999543299,0.838156124893447,9.002145600582002,model_multi_output_SUVA_results/Neural Network_init1_fold4_model1.joblib
43,1,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9001833510777775,4.11238591720556,0.7762566374389238,10.843636748635308,model_multi_output_SUVA_results/Neural Network_init1_fold5_model1.joblib
44,2,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9459161728270414,3.7016253257590854,0.8695581895250412,10.067106670371224,model_multi_output_SUVA_results/Neural Network_init2_fold1_model1.joblib
44,2,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9275249126799491,3.705130501640673,0.8758740389850528,10.157988924512491,model_multi_output_SUVA_results/Neural Network_init2_fold2_model1.joblib
44,2,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9089999363979813,4.253247335174995,0.8741585630130217,9.244944847088084,model_multi_output_SUVA_results/Neural Network_init2_fold3_model1.joblib
44,2,4,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9452330597592871,4.24725985699797,0.9062640527315351,8.11918074452019,model_multi_output_SUVA_results/Neural Network_init2_fold4_model1.joblib
44,2,5,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9367042355349604,4.359393036421324,0.8799797463606709,12.066364756793472,model_multi_output_SUVA_results/Neural Network_init2_fold5_model1.joblib
45,3,1,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9257706398256822,4.293589314046325,0.8499724455383436,8.322658176324685,model_multi_output_SUVA_results/Neural Network_init3_fold1_model1.joblib
45,3,2,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9428601119808526,3.830200515254672,0.8589696042881656,9.91908887747002,model_multi_output_SUVA_results/Neural Network_init3_fold2_model1.joblib
45,3,3,"{'model__hidden_layer_sizes': (200, 100, 50)}",0.9262913400687196,4.3157920239274254,0.7785660055485216,15.50885378762124,model_multi_output_SUVA_results/Neural Network_init3_fold3_model1.joblib
