seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",-0.06028747063424091,43.938476811437184,-0.04860350814172658,48.39463448781986,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model1.joblib
43,1,1,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",-0.03933135324132331,43.92423811127264,-0.029809786061990785,48.379805517654425,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model2.joblib
43,1,1,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",-0.023132425684632963,43.90812330680646,-0.0146706449607505,48.36238195617414,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model3.joblib
43,1,1,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",-0.0042993615277756355,43.84467547842107,-0.001224373530803513,48.3038880003068,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model4.joblib
43,1,1,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",-0.04983658152731525,43.81102351028489,-0.04124749073737719,48.265369285446965,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model5.joblib
43,1,1,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",0.139275185478506,42.5554039757194,0.09580681297273744,47.04136460469821,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model6.joblib
43,1,1,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",0.145033219114197,42.53503874546207,0.10494288961966973,47.02078817634951,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model7.joblib
43,1,1,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",0.15435941028998781,42.51582079310664,0.1109781793224689,47.002722705766196,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model8.joblib
43,1,1,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",0.15287686784754767,42.50016463856001,0.11594909470665098,46.987643686795124,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model9.joblib
43,1,1,"{'model__estimator__C': 1, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",0.0736898174049733,42.51480040168848,0.06688140469303305,46.996865836296394,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model10.joblib
43,1,1,"{'model__estimator__C': 10, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",0.290391322906734,37.759212559411814,0.20061447599460358,42.4787916008171,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model11.joblib
43,1,1,"{'model__estimator__C': 10, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",0.295078905887577,37.732777690570174,0.20154696489603116,42.4460687783675,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model12.joblib
43,1,1,"{'model__estimator__C': 10, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",0.2981685582114504,37.69046327366699,0.19001367096232893,42.408855914501586,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model13.joblib
43,1,1,"{'model__estimator__C': 10, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",0.2962777517233139,37.623579181927255,0.1939908614088844,42.347616632277806,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model14.joblib
43,1,1,"{'model__estimator__C': 10, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",0.23600561304601228,37.59266369238118,0.19433710548390995,42.27909317782997,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model15.joblib
43,1,1,"{'model__estimator__C': 100, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",0.41962916008625106,25.628235439194746,0.2561210647039565,30.771237266580677,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model16.joblib
43,1,1,"{'model__estimator__C': 100, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",0.42660946698030633,25.617321554799066,0.2625307281863913,30.759104480390164,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model17.joblib
43,1,1,"{'model__estimator__C': 100, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",0.4359509797909095,25.60043667572297,0.28370166637803834,30.743093511645156,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model18.joblib
43,1,1,"{'model__estimator__C': 100, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",0.43331737015631155,25.57313862465862,0.3225507894291701,30.698795274959963,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model19.joblib
43,1,1,"{'model__estimator__C': 100, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",0.40326852430379156,25.53925911637492,0.3462585441560154,30.63818658611238,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold1_model20.joblib
43,1,2,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",-0.03205668460926392,44.08317301205198,-0.016998695043366464,47.51954024266849,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model1.joblib
43,1,2,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",-0.013295426645530007,44.069096283242274,-0.0008882315991800338,47.50254623037028,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model2.joblib
43,1,2,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",-0.007583549962336611,44.06432702975976,0.003875044265544947,47.4926894630911,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model3.joblib
43,1,2,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",-0.002710150865034855,44.02864863119068,0.009243297544642703,47.45060494461049,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model4.joblib
43,1,2,"{'model__estimator__C': 0.1, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",-0.03892113564675157,43.99485613352612,-0.060668781724407886,47.422288655125875,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model5.joblib
43,1,2,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.01, 'model__estimator__kernel': 'rbf'}",0.1284847864345912,42.83553702043686,0.174329558109221,46.2079951888855,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model6.joblib
43,1,2,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.1, 'model__estimator__kernel': 'rbf'}",0.13411868935457863,42.81582198350601,0.1853344061073174,46.197076870277186,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model7.joblib
43,1,2,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.2, 'model__estimator__kernel': 'rbf'}",0.14032679296727787,42.798422471813424,0.18932174483959766,46.18805073849076,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model8.joblib
43,1,2,"{'model__estimator__C': 1, 'model__estimator__epsilon': 0.5, 'model__estimator__kernel': 'rbf'}",0.13568925845808114,42.7539948839058,0.17994000764469992,46.14392992282542,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model9.joblib
43,1,2,"{'model__estimator__C': 1, 'model__estimator__epsilon': 1, 'model__estimator__kernel': 'rbf'}",0.07596242123147497,42.720585680024875,0.0794850138897131,46.11738211568752,model_multi_output_breakpoint_results/Support Vector Regressor_init1_fold2_model10.joblib
