seed,init_id,fold_id,params,r2_train,rmse_train,r2_test,rmse_test,model_path
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200}",-1.9527299404144287,24.322141456089575,-1.9067668914794922,33.3583213342492,model_multi_output_cl2_results/XGBoost_init1_fold1_model1.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 300}",-0.026848960667848587,23.27479313152938,-0.09147191047668457,33.32101892091215,model_multi_output_cl2_results/XGBoost_init1_fold1_model2.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200}",-1.9486472606658936,24.28089119476692,-1.9073817729949951,33.364170880782176,model_multi_output_cl2_results/XGBoost_init1_fold1_model3.joblib
43,1,1,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300}",-0.022774314507842064,23.2422661416198,-0.09559454768896103,33.35134358243223,model_multi_output_cl2_results/XGBoost_init1_fold1_model4.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",0.28894656896591187,23.008414599814305,0.17342279851436615,33.85150395105934,model_multi_output_cl2_results/XGBoost_init1_fold1_model5.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300}",0.2906898856163025,23.00315127136816,0.1636524647474289,33.88043888273456,model_multi_output_cl2_results/XGBoost_init1_fold1_model6.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",0.29290878772735596,22.99561792072285,0.1477670818567276,33.938516226774496,model_multi_output_cl2_results/XGBoost_init1_fold1_model7.joblib
43,1,1,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",0.2939528524875641,22.99410053944085,0.13776390254497528,33.95761004045592,model_multi_output_cl2_results/XGBoost_init1_fold1_model8.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",0.2916942238807678,23.00016392293254,0.15797613561153412,33.89702396082582,model_multi_output_cl2_results/XGBoost_init1_fold1_model9.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300}",0.2926291823387146,22.99726923287186,0.15063583850860596,33.920909690696426,model_multi_output_cl2_results/XGBoost_init1_fold1_model10.joblib
43,1,1,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",0.2941727042198181,22.99368101046378,0.13378359377384186,33.96909951210424,model_multi_output_cl2_results/XGBoost_init1_fold1_model11.joblib
